reaction_id,gene_id
r_0811,YKL067W
r_0812,YLR303W
r_0813,YLR303W
r_0815,YLL058W
r_0815,YML082W
r_0815,YAL012W
r_0816,YJL088W
r_0817,YKL184W
r_0818,YMR062C
r_0819,YLR438W
r_0820,YML106W
r_0820,YMR271C
r_0821,YEL021W
r_0831,YDR148C
r_0831,YIL125W
r_0831,YFR049W
r_0831,YFL018C
r_0832,YDR148C
r_0832,YIL125W
r_0832,YFR049W
r_0832,YFL018C
r_0841,YGR277C
r_0842,YDR531W
r_0843,YIL145C
r_0844,YJR019C
r_0845,YJR019C
r_0847,YJR019C
r_0848,YJR019C
r_0849,YJR019C
r_0850,YJR019C
r_0851,YGL202W
r_0852,YFL022C
r_0852,YLR060W
r_0853,YPR047W
r_0854,YDR380W
r_0855,YGL234W
r_0882,YEL058W
r_0883,YLR043C
r_0883,YGR209C
r_0883,YPR167C
r_0884,YKR097W
r_0885,YGR007W
r_0886,YGR240C
r_0886,YMR205C
r_0887,YGR240C
r_0887,YMR205C
r_0888,YMR105C
r_0888,YKL127W
r_0889,YGR256W
r_0889,YHR183W
r_0890,YEL058W
r_0891,YER081W
r_0891,YIL074C
r_0892,YCR012W
r_0893,YKL152C
r_0893,YOR283W
r_0902,YFL045C
r_0903,YPL258C
r_0903,YPR121W
r_0903,YOL055C
r_0904,YMR220W
r_0905,YIL083C
r_0906,YOR054C
r_0906,YKL088W
r_0906,YKR072C
r_0907,YMR105C
r_0907,YKL127W
r_0907,YMR278W
r_0908,YAR015W
r_0909,YCL030C
r_0910,YCL030C
r_0911,YOR128C
r_0912,YMR120C
r_0912,YLR028C
r_0913,YDR007W
r_0914,YGL234W
r_0915,YMR300C
r_0916,YOL061W
r_0916,YKL181W
r_0916,YHL011C
r_0916,YER099C
r_0916,YBL068W
r_0917,YGR208W
r_0918,YOR184W
r_0919,YBR183W
r_0920,YDR402C
r_0921,YDR294C
r_0922,YDR297W
r_0929,YMR020W
r_0935,YGL040C
r_0936,YMR020W
r_0937,YMR020W
r_0938,YNL316C
r_0939,YBR166C
r_0940,YLR142W
r_0941,YHR020W
r_0942,YER014W
r_0943,YLR209C
r_0949,YLR209C
r_0950,YLR209C
r_0951,YLR209C
r_0953,YBR035C
r_0954,YBR035C
r_0955,YBR035C
r_0956,YBR035C
r_0957,YER023W
r_0958,YBR218C
r_0958,YGL062W
r_0959,YGR087C
r_0959,YLR044C
r_0959,YLR134W
r_0960,YGR087C
r_0960,YLR044C
r_0960,YLR134W
r_0961,YGR193C
r_0961,YER178W
r_0961,YBR221C
r_0961,YNL071W
r_0961,YFL018C
r_0962,YOR347C
r_0962,YAL038W
