reaction_id,category
MAR02702,Loop
MAR02711,Loop
MAR02714,Loop
MAR02720,Loop
MAR02730,Loop
MAR02742,Loop
MAR02746,Loop
MAR02752,Loop
MAR02759,Loop
MAR03032,Loop
MAR00160,Loop
MAR00161,Loop
MAR00162,Loop
MAR00163,Loop
MAR02592,Loop
MAR02598,Loop
MAR02612,Loop
MAR02624,Loop
MAR02629,Loop
MAR02634,Loop
MAR02638,Loop
MAR02640,Loop
MAR02644,Loop
MAR02655,Loop
MAR02658,Loop
MAR02664,Loop
MAR02665,Loop
MAR02667,Loop
MAR02673,Loop
MAR02679,Loop
MAR02712,Loop
MAR02713,Loop
MAR02715,Loop
MAR02718,Loop
MAR02722,Loop
MAR02727,Loop
MAR02731,Loop
MAR02744,Loop
MAR02748,Loop
MAR02753,Loop
MAR02757,Loop
MAR02760,Loop
MAR02764,Loop
MAR03520,Loop
MAR08418,Loop
MAR03029,Loop
MAR03030,Loop
MAR03033,Loop
MAR03034,Loop
MAR03035,Loop
MAR03037,Loop
MAR02778,Loop
MAR02780,Loop
MAR02801,Loop
MAR02803,Loop
MAR02807,Loop
MAR02809,Loop
MAR02851,Loop
MAR02852,Loop
MAR02857,Loop
MAR02859,Loop
MAR02861,Loop
MAR02862,Loop
MAR02865,Loop
MAR02866,Loop
MAR02869,Loop
MAR02870,Loop
MAR02880,Loop
MAR02882,Loop
MAR02884,Loop
MAR02886,Loop
MAR02888,Loop
MAR02890,Loop
MAR02892,Loop
MAR02894,Loop
MAR02896,Loop
MAR02897,Loop
MAR02921,Loop
MAR02924,Loop
MAR02927,Loop
MAR00604,Loop
MAR03106,Loop
MAR03364,Duplicate
MAR03369,Duplicate
MAR03478,Loop
MAR03480,Multiple
MAR03481,Loop
MAR03482,Multiple
MAR03491,Loop
MAR03493,Multiple
MAR03301,Duplicate
MAR03306,Duplicate
MAR03311,Duplicate
MAR03322,Duplicate
MAR03121,Duplicate
MAR03128,Duplicate
MAR03135,Duplicate
MAR03142,Duplicate
MAR03149,Duplicate
MAR03156,Duplicate
MAR03284,Duplicate
MAR03294,Duplicate
MAR03296,Duplicate
MAR06904,Duplicate
MAR07165,Dead-End
MAR07166,Dead-End
MAR07167,Dead-End
MAR07168,Dead-End
MAR07169,Dead-End
MAR07170,Dead-End
MAR09722,Dead-End
MAR01924,Loop
MAR01926,Loop
MAR01932,Dead-End
MAR01933,Dead-End
MAR01934,Dead-End
MAR01935,Dead-End
MAR01942,Dead-End
MAR01950,Dead-End
MAR01951,Dead-End
MAR04766,Loop
MAR06793,Dead-End
MAR06794,Dead-End
MAR07942,Multiple
MAR07943,Multiple
MAR07955,Duplicate
MAR07968,Duplicate
MAR02041,Duplicate
MAR07971,Duplicate
MAR07972,Duplicate
MAR07976,Multiple
MAR01974,Duplicate
MAR02016,Duplicate
MAR02017,Duplicate
MAR02018,Duplicate
MAR02019,Duplicate
MAR01495,Duplicate
MAR01496,Duplicate
MAR01557,Duplicate
MAR01558,Duplicate
MAR02050,Dead-End
MAR02056,Dead-End
MAR02062,Dead-End
MAR02077,Dead-End
MAR02088,Loop
MAR02089,Loop
MAR03537,Dead-End
MAR03538,Dilution
MAR03539,Dilution
MAR03540,Dilution
MAR03541,Dilution
MAR03542,Dilution
MAR03543,Dilution
MAR03544,Dilution
MAR03545,Dilution
MAR03546,Dilution
MAR03547,Dilution
MAR03548,Dilution
MAR03549,Dilution
MAR03550,Dilution
MAR03551,Dilution
MAR03552,Dilution
MAR03553,Dilution
MAR03554,Dilution
MAR03555,Dilution
MAR03556,Dilution
MAR03557,Dilution
MAR03558,Dilution
MAR03559,Dilution
MAR03560,Dilution
MAR03561,Dilution
MAR03562,Dilution
MAR03563,Dilution
MAR03564,Dilution
MAR03565,Dilution
MAR03566,Dilution
MAR03567,Dilution
MAR03568,Dilution
MAR03569,Dilution
MAR03570,Dilution
MAR03571,Dilution
MAR03572,Dilution
MAR03573,Dilution
MAR03574,Dilution
MAR03575,Dilution
MAR03576,Dilution
MAR03577,Dilution
MAR03578,Dilution
MAR03579,Dilution
MAR03580,Dilution
MAR03581,Dilution
MAR03582,Dilution
MAR03583,Dilution
MAR03584,Dilution
MAR03585,Dilution
MAR03586,Dilution
MAR03587,Dilution
MAR03588,Dilution
MAR03589,Dilution
MAR03590,Dilution
MAR03591,Dilution
MAR03592,Dilution
MAR03593,Dilution
MAR03594,Dilution
MAR03595,Dilution
MAR03596,Dilution
MAR03702,Dead-End
MAR03730,Dead-End
MAR03731,Dead-End
MAR03742,Dead-End
MAR00715,Dead-End
MAR00716,Dead-End
MAR00733,Dead-End
MAR00735,Loop
MAR00736,Loop
MAR00754,Duplicate
MAR00763,Loop
MAR00766,Loop
MAR00786,Loop
MAR08219,Duplicate
MAR08220,Duplicate
MAR08237,Dead-End
MAR00463,Dead-End
MAR00478,Duplicate
MAR00479,Duplicate
MAR00483,Duplicate
MAR00482,Duplicate
MAR00625,Loop
MAR00640,Loop
MAR08362,Loop
MAR00856,Dead-End
MAR00857,Dead-End
MAR00858,Dead-End
MAR00861,Dead-End
MAR00862,Dead-End
MAR00879,Dead-End
MAR00880,Dead-End
MAR00881,Dead-End
MAR00896,Dead-End
MAR00897,Dead-End
MAR01996,Loop
MAR01308,Loop
MAR01310,Loop
MAR01312,Loop
MAR01315,Loop
MAR01318,Loop
MAR01322,Loop
MAR01323,Loop
MAR01324,Loop
MAR01325,Multiple
MAR01326,Multiple
MAR01327,Loop
MAR01330,Loop
MAR01333,Loop
MAR01335,Loop
MAR01355,Dead-End
MAR01356,Dead-End
MAR01357,Dead-End
MAR01358,Dead-End
MAR01359,Dead-End
MAR01360,Dead-End
MAR01361,Dead-End
MAR01362,Dead-End
MAR01363,Dead-End
MAR01373,Loop
MAR01375,Loop
MAR01376,Loop
MAR00703,Dead-End
MAR00705,Dead-End
MAR00706,Dead-End
MAR00708,Dead-End
MAR00024,Dead-End
MAR00025,Multiple
MAR00026,Dead-End
MAR00027,Dead-End
MAR00028,Dead-End
MAR00030,Multiple
MAR08648,Dead-End
MAR01581,Loop
MAR01584,Multiple
MAR01585,Multiple
MAR01589,Duplicate
MAR01590,Duplicate
MAR01598,Duplicate
MAR01599,Duplicate
MAR01604,Loop
MAR01605,Loop
MAR01608,Loop
MAR01609,Duplicate
MAR01610,Duplicate
MAR01611,Loop
MAR01613,Duplicate
MAR01614,Duplicate
MAR01620,Loop
MAR01623,Loop
MAR01673,Loop
MAR01676,Multiple
MAR01678,Multiple
MAR01679,Loop
MAR01684,Loop
MAR01685,Multiple
MAR01692,Multiple
MAR01693,Duplicate
MAR01694,Loop
MAR01702,Duplicate
MAR01725,Loop
MAR01726,Multiple
MAR01727,Multiple
MAR01772,Loop
MAR01774,Loop
MAR01776,Loop
MAR01786,Loop
MAR01787,Loop
MAR01790,Dead-End
MAR01792,Dead-End
MAR01794,Dead-End
MAR01796,Dead-End
MAR01798,Dead-End
MAR01800,Dead-End
MAR01802,Loop
MAR01806,Loop
MAR01836,Dead-End
MAR01837,Dead-End
MAR01841,Multiple
MAR01842,Multiple
MAR01844,Diphosphate
MAR01845,Multiple
MAR01846,Dilution
MAR03911,Duplicate
MAR01847,Dilution
MAR01852,Multiple
MAR01854,Loop
MAR01855,Multiple
MAR01857,Duplicate
MAR01859,Multiple
MAR01861,Duplicate
MAR01862,Multiple
MAR01863,Multiple
MAR01865,Multiple
MAR01866,Loop
MAR01867,Loop
MAR01870,Duplicate
MAR01875,Loop
MAR01876,Loop
MAR01877,Loop
MAR01878,Loop
MAR01879,Loop
MAR01880,Multiple
MAR01881,Multiple
MAR01882,Multiple
MAR01883,Multiple
MAR01884,Multiple
MAR01885,Multiple
MAR01886,Multiple
MAR01887,Multiple
MAR01888,Multiple
MAR01889,Multiple
MAR01890,Multiple
MAR01891,Multiple
MAR01892,Multiple
MAR01893,Multiple
MAR01894,Multiple
MAR01403,Dead-End
MAR01405,Dead-End
MAR01406,Dead-End
MAR01407,Dead-End
MAR01408,Dead-End
MAR01409,Dead-End
MAR01410,Dead-End
MAR01411,Dead-End
MAR01412,Dead-End
MAR01413,Dead-End
MAR01414,Dead-End
MAR01415,Dead-End
MAR01416,Dead-End
MAR01417,Dead-End
MAR01418,Dead-End
MAR01419,Dead-End
MAR01420,Dead-End
MAR01421,Dead-End
MAR01422,Dead-End
MAR01423,Dead-End
MAR01424,Dead-End
MAR01425,Dead-End
MAR01426,Dead-End
MAR01427,Dead-End
MAR01428,Dead-End
MAR01429,Dead-End
MAR01430,Dead-End
MAR01431,Dead-End
MAR01432,Dead-End
MAR01433,Dead-End
MAR00712,Loop
MAR03992,Dilution
MAR04257,Multiple
MAR04262,Multiple
MAR04265,Loop
MAR04276,Multiple
MAR08791,Loop
MAR04499,Dead-End
MAR04714,Loop
MAR04716,Loop
MAR04725,Loop
MAR04730,Loop
MAR03925,Multiple
MAR04332,Multiple
MAR04333,Multiple
MAR04335,Loop
MAR04440,Multiple
MAR04442,Multiple
MAR04444,Multiple
MAR04446,Multiple
MAR04448,Multiple
MAR04503,Loop
MAR04505,Loop
MAR04654,Multiple
MAR04655,Multiple
MAR04656,Loop
MAR07145,Dead-End
MAR07146,Dead-End
MAR07147,Dead-End
MAR08144,Multiple
MAR07661,Dilution
MAR07662,Dilution
MAR07668,Dilution
MAR07669,Dilution
MAR07670,Dilution
MAR07671,Dilution
MAR07672,Dilution
MAR07673,Dilution
MAR04165,Loop
MAR04166,Loop
MAR04167,Loop
MAR04523,Multiple
MAR04539,Loop
MAR04540,Multiple
MAR04541,Loop
MAR04542,Multiple
MAR04543,Loop
MAR04544,Multiple
MAR08740,Loop
MAR06393,Dilution
MAR06394,Multiple
MAR06396,Multiple
MAR06405,Dead-End
MAR08345,Loop
MAR08346,Loop
MAR08348,Loop
MAR08620,Multiple
MAR04762,Dilution
MAR04763,Dead-End
MAR04764,Duplicate
MAR06395,Dilution
MAR08634,Duplicate
MAR09717,Dead-End
MAR06630,Multiple
MAR06631,Multiple
MAR06632,Duplicate
MAR06633,Duplicate
MAR06634,Dilution
MAR06635,Dead-End
MAR06638,Multiple
MAR06639,Dead-End
MAR06641,Dilution
MAR06642,Dilution
MAR06643,Loop
MAR06644,Multiple
MAR06645,Loop
MAR06646,Multiple
MAR06647,Loop
MAR06648,Dilution
MAR06649,Dilution
MAR06650,Loop
MAR06651,Loop
MAR06652,Loop
MAR06653,Dilution
MAR06654,Dilution
MAR06655,Dilution
MAR06656,Dilution
MAR06657,Dilution
MAR06658,Dilution
MAR06660,Loop
MAR06661,Loop
MAR06662,Loop
MAR06664,Dilution
MAR06665,Dilution
MAR06668,Dilution
MAR06669,Dilution
MAR06670,Dead-End
MAR06672,Loop
MAR06673,Loop
MAR06674,Loop
MAR06675,Multiple
MAR06676,Loop
MAR06677,Dilution
MAR06678,Dilution
MAR06681,Dead-End
MAR06682,Dilution
MAR06683,Dead-End
MAR06684,Dead-End
MAR06685,Dead-End
MAR06686,Dead-End
MAR06687,Dilution
MAR06690,Dilution
MAR06691,Dilution
MAR06692,Dilution
MAR06693,Dilution
MAR06694,Dead-End
MAR06695,Dead-End
MAR06697,Dead-End
MAR06699,Dead-End
MAR06700,Dilution
MAR06701,Dilution
MAR06702,Dilution
MAR06703,Dilution
MAR06704,Dead-End
MAR06705,Dead-End
MAR08698,Multiple
MAR08699,Multiple
MAR08702,Loop
MAR08703,Dead-End
MAR08704,Dead-End
MAR08706,Dead-End
MAR08709,Multiple
MAR08710,Loop
MAR08711,Loop
MAR04548,Loop
MAR04552,Loop
MAR04553,Loop
MAR04555,Dead-End
MAR04556,Dead-End
MAR04559,Duplicate
MAR04560,Duplicate
MAR08613,Dilution
MAR08615,Dilution
MAR08616,Dilution
MAR04068,Dilution
MAR08724,Dilution
MAR02114,Loop
MAR02129,Dilution
MAR02130,Dilution
MAR02131,Dilution
MAR02132,Dilution
MAR02133,Dilution
MAR02134,Dilution
MAR02135,Dilution
MAR02136,Dilution
MAR02139,Dilution
MAR02140,Multiple
MAR02142,Dilution
MAR02143,Dilution
MAR02144,Dilution
MAR02145,Dilution
MAR08003,Dead-End
MAR08005,Dead-End
MAR08006,Multiple
MAR08011,Loop
MAR08014,Loop
MAR06423,Dead-End
MAR06457,Multiple
MAR06458,Dead-End
MAR06500,Multiple
MAR06501,Dead-End
MAR06992,Dilution
MAR06993,Dilution
MAR06994,Dilution
MAR06995,Dilution
MAR06996,Dilution
MAR06997,Dilution
MAR06998,Dilution
MAR06999,Dilution
MAR07000,Dilution
MAR07002,Dilution
MAR07003,Dilution
MAR07004,Dilution
MAR07005,Dilution
MAR07006,Dilution
MAR07007,Dilution
MAR07008,Dilution
MAR07009,Dilution
MAR07010,Dilution
MAR07011,Dilution
MAR07012,Dilution
MAR07013,Dilution
MAR07014,Dilution
MAR07015,Dilution
MAR07016,Dilution
MAR07017,Dilution
MAR07018,Dilution
MAR07019,Dilution
MAR07020,Dilution
MAR07022,Dilution
MAR07023,Dilution
MAR07024,Dilution
MAR07025,Dilution
MAR07026,Dilution
MAR07027,Dilution
MAR07028,Dilution
MAR07029,Dilution
MAR07030,Dilution
MAR07031,Dilution
MAR07032,Dilution
MAR07033,Dilution
MAR07034,Dilution
MAR07035,Dilution
MAR07036,Dilution
MAR07037,Dilution
MAR07038,Dilution
MAR07039,Dilution
MAR07040,Dilution
MAR07041,Dilution
MAR07042,Dilution
MAR07043,Dilution
MAR07044,Dilution
MAR07045,Dilution
MAR07046,Dilution
MAR07047,Dilution
MAR07048,Dilution
MAR07049,Dilution
MAR07050,Dilution
MAR07051,Dead-End
MAR07052,Dilution
MAR07053,Dilution
MAR07054,Dilution
MAR07055,Dilution
MAR07056,Dilution
MAR07057,Dilution
MAR07058,Dilution
MAR07059,Dilution
MAR07060,Dilution
MAR07061,Dilution
MAR07063,Dilution
MAR07064,Dilution
MAR07065,Dilution
MAR07066,Dilution
MAR07067,Dilution
MAR07068,Dilution
MAR07069,Dilution
MAR07070,Dilution
MAR07071,Dilution
MAR07072,Dilution
MAR07073,Dilution
MAR07074,Dilution
MAR07075,Dilution
MAR07076,Dilution
MAR07077,Dilution
MAR07078,Dilution
MAR07079,Dilution
MAR07080,Dilution
MAR07081,Dilution
MAR07082,Dilution
MAR07083,Dilution
MAR07084,Dilution
MAR07085,Dilution
MAR07086,Dilution
MAR07087,Dilution
MAR07088,Dilution
MAR07089,Dilution
MAR07090,Dilution
MAR07091,Dead-End
MAR07092,Dead-End
MAR07093,Dead-End
MAR07094,Dead-End
MAR07095,Dead-End
MAR07096,Dead-End
MAR07097,Dead-End
MAR07098,Dead-End
MAR07099,Dilution
MAR07100,Dilution
MAR07103,Dilution
MAR07104,Dilution
MAR07106,Dilution
MAR06535,Dead-End
MAR06536,Dead-End
MAR03955,Loop
MAR03984,Duplicate
MAR05128,Loop
MAR05406,Loop
MAR05409,Loop
MAR08617,Dilution
MAR08749,Loop
MAR08750,Loop
MAR08751,Loop
MAR09469,Dead-End
MAR09481,Dead-End
MAR09482,Dead-End
MAR09488,Dilution
MAR09489,Dilution
MAR09490,Dead-End
MAR09491,Dead-End
MAR09493,Dilution
MAR09494,Dilution
MAR09498,Dead-End
MAR09499,Dead-End
MAR09506,Dead-End
MAR09507,Dead-End
MAR09508,Multiple
MAR09509,Dead-End
MAR09510,Dead-End
MAR09516,Dilution
MAR09517,Dilution
MAR09518,Dead-End
MAR09519,Dead-End
MAR09520,Dead-End
MAR09522,Dead-End
MAR09523,Multiple
MAR09530,Dead-End
MAR09531,Dead-End
MAR09532,Dead-End
MAR09536,Dead-End
MAR09537,Dead-End
MAR09538,Dead-End
MAR09539,Dead-End
MAR09540,Dead-End
MAR09541,Dead-End
MAR09542,Dead-End
MAR09553,Dead-End
MAR09565,Dead-End
MAR09566,Dead-End
MAR09567,Dead-End
MAR09568,Dead-End
MAR09575,Dead-End
