reaction_id,gene_id
DMSOR1pp,b1872
DMSOR1pp,b1873
ARGabcpp,b0861
ARGabcpp,b0863
ARGabcpp,b2308
ARGabcpp,b2307
ARGabcpp,b2310
ARGabcpp,b0860
ARGabcpp,b0864
ARGabcpp,b0862
ARGabcpp,b2306
ADNt2pp_copy1,b2964
ADNt2pp_copy1,b2393
ADNt2pp_copy2,b2406
ALAabcpp,b3454
ALAabcpp,b3456
ALAabcpp,b3460
ALAabcpp,b3455
ALAabcpp,b3457
ALLabcpp,b4088
ALLabcpp,b4086
ALLabcpp,b4087
ALLTNt2rpp,b0511
ARBabcpp,b4460
ARBabcpp,b1900
ARBabcpp,b1901
ARGAGMt7pp,b4115
ASCBptspp,b4195
ASCBptspp,b2415
ASCBptspp,b4193
ASCBptspp,b4194
ASCBptspp,b2416
CYTK2,b0910
ASNt2rpp,b1453
ASPabcpp,b0654
ASPabcpp,b0653
ASPabcpp,b0655
ASPabcpp,b0652
ASPt2pp,b4077
ECOAH8,b3846
ECOAH8,b2341
GLCDpp,b0124
GLCDpp,b0837
GUAtpp,b4064
GUAtpp,b4464
ASPt2_2pp,b3528
HYD2pp,b0974
HYD2pp,b2997
HYD2pp,b2995
HYD2pp,b0972
HYD2pp,b0973
HYD2pp,b2996
HYD2pp,b2994
GK1,b3648
HYXNtpp,b4064
HYXNtpp,b4464
ASPt2_3pp,b4123
ASPt2_3pp,b4138
HIStex,b1377
HIStex,b2215
HIStex,b0929
HIStex,b0241
FE3DCITabcpp,b4287
FE3DCITabcpp,b4290
FE3DCITabcpp,b4288
FE3DCITabcpp,b4289
HXAtex,b1377
HXAtex,b2215
HXAtex,b0929
HXAtex,b0241
HACD1,b3846
HACD1,b2341
HYXNtex,b1377
HYXNtex,b2215
HYXNtex,b0929
HYXNtex,b0241
IDONtex,b1377
IDONtex,b2215
IDONtex,b0929
IDONtex,b0241
ILEtex,b1377
ILEtex,b2215
ILEtex,b0929
ILEtex,b0241
INSTtex,b1377
INSTtex,b2215
INSTtex,b0929
INSTtex,b0241
INStex,b0411
Ktex,b1377
Ktex,b2215
Ktex,b0929
Ktex,b0241
CPGNtonex,b1252
CPGNtonex,b3006
CPGNtonex,b1102
CPGNtonex,b3005
GLCRtex,b1377
GLCRtex,b2215
GLCRtex,b0929
GLCRtex,b0241
GLCNtex,b1377
GLCNtex,b2215
GLCNtex,b0929
GLCNtex,b0241
GLCURtex,b1377
GLCURtex,b2215
GLCURtex,b0929
GLCURtex,b0241
GLNtex,b1377
GLNtex,b2215
GLNtex,b0929
GLNtex,b0241
O2tex,b1377
O2tex,b2215
O2tex,b0929
O2tex,b0241
HACD2,b3846
HACD2,b2341
OCTAtex,b1377
OCTAtex,b2215
OCTAtex,b0929
OCTAtex,b0241
D_LACtex,b1377
D_LACtex,b2215
D_LACtex,b0929
D_LACtex,b0241
NTD8pp,b0480
NTD8pp,b4055
ORNtex,b1377
ORNtex,b2215
ORNtex,b0929
ORNtex,b0241
FRULYStex,b1377
FRULYStex,b2215
FRULYStex,b0929
FRULYStex,b0241
MALTtexi,b4036
ECOAH5,b3846
ECOAH5,b2341
DHFS,b2315
CITt7pp,b0612
CRNt7pp,b0040
GLCtex_copy1,b4036
CHLabcpp,b2131
CHLabcpp,b2130
CHLabcpp,b2128
CHLabcpp,b2129
DGSNt2pp,b2964
FE3DCITtonex,b1252
FE3DCITtonex,b4291
FE3DCITtonex,b3006
FE3DCITtonex,b3005
DINSt2pp,b2964
DURIt2pp,b2964
DURIt2pp,b2393
FE2abcpp,b3409
FRUptspp,b2167
FRUptspp,b2416
FRUptspp,b2169
FRUptspp,b2415
FUCtpp,b2801
GALCTt2rpp,b3127
GALCTt2rpp,b2789
GALt2pp,b2943
ASPtex,b1377
ASPtex,b2215
ASPtex,b0929
ASPtex,b0241
ABUTt2pp,b2663
FUMt2_2pp,b3528
FUMt2_3pp,b4123
FUMt2_3pp,b4138
FUMt2_3pp,b0621
PHEtex,b1377
PHEtex,b2215
PHEtex,b0929
PHEtex,b0241
FEENTERtonex,b1252
FEENTERtonex,b0584
FEENTERtonex,b3006
FEENTERtonex,b3005
CSNt2pp,b0336
CYNTt2pp,b0341
CYSabcpp,b1917
CYSabcpp,b1918
CYSabcpp,b1920
SBTptspp,b2704
SBTptspp,b2703
SBTptspp,b2415
SBTptspp,b2702
SBTptspp,b2416
PItex,b1377
PItex,b2215
PItex,b0929
PItex,b0241
TREHpp,b1197
CYTBDpp,b0978
CYTBDpp,b0734
CYTBDpp,b0733
CYTBDpp,b0979
CYTBDpp,b4515
CYTDt2pp_copy1,b2964
